Industry,Business Name,Category,Address,Council Area,Suburb,Google Maps,Website,Email,Phone,Latitude,Longitude,Permanently Closed,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Assistive Hearing Loop,Family-Friendly,LGBTQ+ Friendly (Likely),Sensory Sensitivity (Loud),Sensory Sensitivity (Quiet),Wheelchair Accessible (Likely),Wheelchair Accessible Entrance,Wheelchair Accessible Parking Lot,Wheelchair Accessible Restroom,Wheelchair Accessible Seating,Reviews Count,Total Score
Health & wellness,Direct Chemist Outlet Point Cook Town Centre,Pharmacy,"Shop 102 Cnr Dunnings Road &, Boardwalk Blvd, Point Cook VIC 3030, Australia",Wyndham,Point Cook,https://www.google.com/maps/search/?api=1&query=Direct%20Chemist%20Outlet%20Point%20Cook%20Town%20Centre&query_place_id=ChIJBZH0V52J1moR8Y9WmedXM4I,https://www.directchemistoutlet.com.au/storelocator/point%20cook/?utm_content=Direct%20Chemist%20Outlet%20Point%20Cook%20-%20Point%20Cook&utm_campaign=Google%20My%20Business&utm_medium=organic&utm_source=google&utm_term=plcid_542761969076309964,,+61 3 9395 0179,-37.8819839,144.735366,False,9 AM to 7 PM,9 AM to 7 PM,9 AM to 7 PM,9 AM to 7 PM,9 AM to 7 PM,9 AM to 5 PM,10 AM to 5 PM,,,True,,,True,True,True,,,163.0,4.6
Lodging,Quest Werribee,Hotel,"69 Synnot St, Werribee VIC 3030, Australia",Wyndham,Werribee,https://www.google.com/maps/search/?api=1&query=Quest%20Werribee&query_place_id=ChIJu-Ij_6WF1moRJYkaAxdEKlE,https://www.questapartments.com.au/properties/vic/werribee/quest-werribee/overview,,+61 3 8744 6000,-37.9045184,144.6589859,False,,,,,,,,,,,,,,,,,,192.0,4.2
Automotive,TYREPLUS Clyde North,Tire shop,"17 Argon Circuit, Clyde North VIC 3978, Australia",Casey,Clyde North,https://www.google.com/maps/search/?api=1&query=TYREPLUS%20Clyde%20North&query_place_id=ChIJZYarNCzt1moR551rHQSsmtE,https://www.tyreplus.com.au/tyre-shop/clyde-north/tyreplus-clyde-north?utm_source=Google&utm_medium=organic&utm_campaign=Uberall_GBP&utm_content=LDS&utm_term=Uberall_GBP,,+61 3 8753 6626,-38.09004,145.33449,False,8 AM to 7 PM,8 AM to 7 PM,8 AM to 7 PM,8 AM to 7 PM,8 AM to 7 PM,8 AM to 7 PM,9 AM to 7 PM,,,True,,,True,True,True,,,65.0,4.6
Education,Swiss Institute Australia,Educational institution,"Level 1, Suite 22/420 Collins St, Melbourne VIC 3000, Australia",Melbourne,Melbourne,https://www.google.com/maps/search/?api=1&query=Swiss%20Institute%20Australia&query_place_id=ChIJ-fdPWCBd1moRI0hFdd4N7aU,https://www.swiss.edu.au/,,+61 3 4309 4084,-37.817029,144.9602963,False,9 AM to 6 PM,9 AM to 6 PM,9 AM to 6 PM,9 AM to 6 PM,9 AM to 6 PM,Closed,Closed,,,,,,True,True,,,,1.0,5.0
Services,Comedus Hospitality Consulting,Consultant,"199 William St, Melbourne VIC 3000, Australia",Melbourne,Melbourne,https://www.google.com/maps/search/?api=1&query=Comedus%20Hospitality%20Consulting&query_place_id=ChIJJTrNk0td1moRr_4Y8EFAyRM,https://comedus.com.au/contact,,+61 422 664 986,-37.8145716,144.9573479,False,,,,,,,,,,,,,,,,,,,
Shopping,Coles Point Cook,Supermarket,"Centre, 5 Main St, Point Cook VIC 3030, Australia",Wyndham,Point Cook,https://www.google.com/maps/search/?api=1&query=Coles%20Point%20Cook&query_place_id=ChIJvUUccvOI1moRYKIlpTjZcAw,http://www.coles.com.au/find-stores/coles/vic/point-cook-537,,+61 3 9394 2300,-37.8825729,144.7346897,False,7 AM to 10 PM,7 AM to 10 PM,7 AM to 10 PM,7 AM to 10 PM,7 AM to 10 PM,7 AM to 10 PM,7 AM to 10 PM,,,True,,,True,True,True,True,,913.0,4.0
Shopping,Monash Merchant,Grocery store,"Clayton campus Monash University, 3/28 Sports Walk, Clayton VIC 3168, Australia",Monash,Clayton,https://www.google.com/maps/search/?api=1&query=Monash%20Merchant&query_place_id=ChIJNW3BFctq1moRZBS0lFpxqm4,https://www.monash.edu/retail/the-monash-merchant,,+61 3 9905 2292,-37.9117633,145.1360335,False,8:30 AM to 10 PM,8:30 AM to 10 PM,8:30 AM to 10 PM,8:30 AM to 10 PM,8:30 AM to 10 PM,10:30 AM to 5:30 PM,10:30 AM to 5:30 PM,,,,,,True,True,True,,,285.0,4.2
Food & drink,Mishra's Kitchen South Kingsville,Indian restaurant,"23 Vernon St, South Kingsville VIC 3015, Australia",Hobsons Bay,South Kingsville,https://www.google.com/maps/search/?api=1&query=Mishra's%20Kitchen%20South%20Kingsville&query_place_id=ChIJ9_T3Ab1h1moRXv8Ki2ailD4,https://mishraskitchen.com/,,+61 3 7049 0057,-37.8294924,144.8721329,False,5 to 10 PM,Closed,5 to 10 PM,5 to 10 PM,5 to 10 PM,5 to 10 PM,5 to 10 PM,,True,True,,,True,True,,True,True,101.0,4.8
Food & drink,The Bakeshop,Bakery,"Bldg D/555 La Trobe St, Melbourne VIC 3000, Australia",Melbourne,Melbourne,https://www.google.com/maps/search/?api=1&query=The%20Bakeshop&query_place_id=ChIJ7TaR1khd1moR333Ilj08K_E,https://www.angliss.edu.au/restaurants-events/angliss-dining/angliss-bakeshop/,,+61 3 9606 2409,-37.8131013,144.9526428,False,4 to 5 PM,4 to 5 PM,4 to 5 PM,4 to 5 PM,4 to 5 PM,Closed,Closed,,,,,,True,True,,,,17.0,4.1
Other,Clipboard Hospitality,Business networking company,"31 Queen St, Melbourne VIC 3000, Australia",Melbourne,Melbourne,https://www.google.com/maps/search/?api=1&query=Clipboard%20Hospitality&query_place_id=ChIJiY9wCP9p1moRg8FECUiZaGM,https://www.clipboardhospo.com/,,+61 401 245 626,-37.8182055,144.9619149,False,8 AM to 5 PM,8 AM to 5 PM,8 AM to 5 PM,8 AM to 5 PM,8 AM to 5 PM,Closed,Closed,,,,,,True,True,,,,,
Food & drink,Meat Flour Wine Braeside,Italian restaurant,"248 Boundary Rd, Braeside VIC 3195, Australia",Kingston,Braeside,https://www.google.com/maps/search/?api=1&query=Meat%20Flour%20Wine%20Braeside&query_place_id=ChIJTyOfW-Js1moRLMdoStv4fGM,http://www.meatflourwine.com.au/,,+61 3 9580 2000,-37.9908333,145.1077778,False,,,,,,,,,True,True,True,,True,True,True,True,True,1617.0,4.4
Food & drink,Wheelers Hill Hotel,Pub,"871-881 Ferntree Gully Rd, Wheelers Hill VIC 3150, Australia",Monash,Wheelers Hill,https://www.google.com/maps/search/?api=1&query=Wheelers%20Hill%20Hotel&query_place_id=ChIJBamtxik-1moRh1xtsqzWfIQ,https://www.wheelershillhotel.com.au/,,+61 3 9560 8922,-37.9065032,145.1901092,False,10 AM to 4 AM,10 AM to 4 AM,10 AM to 4 AM,10 AM to 4 AM,10 AM to 4 AM,10 AM to 4 AM,10 AM to 4 AM,,True,,,,True,True,True,True,True,2380.0,4.0
Business & manufacturing,AUSREO - Pakenham,Steel distributor,"34 Southeast Blvd, Pakenham VIC 3810, Australia",Cardinia,Pakenham,https://www.google.com/maps/search/?api=1&query=AUSREO%20-%20Pakenham&query_place_id=ChIJ07lK5QLiKWsR1IWxjg_FaOE,https://www.ausreo.com.au/,,+61 3 5940 6100,-38.0970332,145.4763071,False,6:30 AM to 4 PM,6:30 AM to 4 PM,6:30 AM to 4 PM,6:30 AM to 4 PM,6:30 AM to 4 PM,Closed,Closed,,,,,,True,True,True,,,23.0,4.4
Food & drink,The Merchants Guild,Cafe,"680 Centre Rd, Bentleigh East VIC 3165, Australia",Glen Eira,Bentleigh East,https://www.google.com/maps/search/?api=1&query=The%20Merchants%20Guild&query_place_id=ChIJpQHAGudr1moRFHl5j86wjik,http://themerchantsguild.com/,,+61 3 9579 0734,-37.9209685,145.0568076,False,7 AM to 3 PM,7 AM to 3 PM,7 AM to 3 PM,7 AM to 3 PM,7 AM to 3 PM,7:30 AM to 3 PM,8 AM to 3 PM,,,,,,True,True,,,True,745.0,4.3
Education,CHARM TOUR,Hospitality and tourism school,,Knox,,https://www.google.com/maps/search/?api=1&query=CHARM%20TOUR&query_place_id=ChIJq5YCMbo5omoR8w0fe9kIyAM,,,+61 490 523 241,-37.9258864,145.2431818,False,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,,,True,,,,,,,,,
Lodging,Tasman Terrace,Serviced accommodation,"7 Tasman Rd, Somers VIC 3927, Australia",Mornington Peninsula,Somers,https://www.google.com/maps/search/?api=1&query=Tasman%20Terrace&query_place_id=ChIJjaKcJK_p1WoR-hC7QO99UJU,http://www.tasmanterrace.com/directions/,,+61 3 5931 3398,-38.3947978,145.1752083,False,,,,,,,,,,,,,,,,,,9.0,4.4
Food & drink,Roccella Italian Restaurant East Melbourne,Italian restaurant,"158 Clarendon St, East Melbourne VIC 3002, Australia",Melbourne,East Melbourne,https://www.google.com/maps/search/?api=1&query=Roccella%20Italian%20Restaurant%20East%20Melbourne&query_place_id=ChIJiWZcQlZD1moReLf1KVvQ98M,https://www.roccellamelbourne.com.au/?utm_source=GMB&utm_medium=traffic&utm_campaign=direct&utm_term=website+home,,+61 3 9416 1700,-37.8119728,144.9835404,False,8 AM to 8:30 PM,8 AM to 8:30 PM,8 AM to 8:30 PM,8 AM to 8:30 PM,8 AM to 9 PM,8 AM to 9 PM,8 AM to 8:30 PM,,,,,,True,True,True,True,True,2938.0,4.8
Shopping,Connor Karingal Hub,Clothing store,"Karingal Hub Shopping Centre, Shop S074/330 Cranbourne Rd, Frankston VIC 3199, Australia",Frankston,Frankston,https://www.google.com/maps/search/?api=1&query=Connor%20Karingal%20Hub&query_place_id=ChIJ069nfjEL1moR73zr_nWVLWU,https://www.connor.com.au/au/store/karingal,,+61 3 7007 8072,-38.1518874,145.1652006,False,9 AM to 5:30 PM,9 AM to 5:30 PM,9 AM to 5:30 PM,9 AM to 9 PM,9 AM to 9 PM,9 AM to 5 PM,10 AM to 5 PM,,,,,,True,True,True,,,44.0,4.6
Other,Taptouch POS,Software company,"4/158 Wellington Rd, Clayton VIC 3168, Australia",Monash,Clayton,https://www.google.com/maps/search/?api=1&query=Taptouch%20POS&query_place_id=ChIJSa6tP4MT1moRpVbI18P3Ip0,https://taptouchpos.com/,,+61 3 8806 1828,-37.9174338,145.1453491,False,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,Closed,Closed,,,,,,True,True,True,True,True,21.0,5.0
Shopping,BWS Thrift Park,Liquor store,"Shop 1/171 Nepean Hwy, Mentone VIC 3194, Australia",Kingston,Mentone,https://www.google.com/maps/search/?api=1&query=BWS%20Thrift%20Park&query_place_id=ChIJwTbZZLNt1moRj0lB8AeI4ek,https://bws.com.au/storelocator/VIC-Thrift-Park-3661,,+61 3 8551 8713,-37.9840012,145.0771335,False,9 AM to 10 PM,9 AM to 10 PM,9 AM to 10 PM,9 AM to 10 PM,9 AM to 10 PM,9 AM to 10 PM,10 AM to 8 PM,,,,,,True,True,True,,,67.0,3.8
Food & drink,The Hot & Crusty,Restaurant,"256 Blackburn Rd, Glen Waverley VIC 3150, Australia",Monash,Glen Waverley,https://www.google.com/maps/search/?api=1&query=The%20Hot%20%26%20Crusty&query_place_id=ChIJKVO2W40_1moRp2vX8j8bYDU,http://thehotandcrusty.com.au/?utm_source=gmb&utm_medium=referral,,+61 3 9802 8359,-37.8744851,145.1481806,False,11 AM to 10 PM,Closed,11 AM to 10 PM,11 AM to 10 PM,11 AM to 10 PM,11 AM to 10 PM,11 AM to 10 PM,,True,,,,,,,,,395.0,4.1
Shopping,AL-Fajr Halal Meats,Butcher shop,"382 Gilbert Rd, Preston VIC 3072, Australia",Darebin,Preston,https://www.google.com/maps/search/?api=1&query=AL-Fajr%20Halal%20Meats&query_place_id=ChIJXfDSHhtF1moR7FR5Qe9Bub0,,,+61 3 9471 4133,-37.7359683,144.9906138,False,8 AM to 5 PM,8 AM to 5 PM,8 AM to 5 PM,8 AM to 5 PM,8 AM to 5 PM,8 AM to 5 PM,Closed,,,,,,True,True,True,,,109.0,4.7
Food & drink,Ferguson Plarre's Bakehouse - Clayton,Bakery,"M-City Shopping Centre, Shop K13/2107-2125 Dandenong Rd, Clayton VIC 3168, Australia",Monash,Clayton,https://www.google.com/maps/search/?api=1&query=Ferguson%20Plarre's%20Bakehouse%20-%20Clayton&query_place_id=ChIJgTGrdQVr1moR0l4rVreGoco,http://www.fergusonplarre.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=clayton,,+61 3 9548 9419,-37.9213839,145.1399318,False,7 AM to 6 PM,7 AM to 6 PM,7 AM to 6 PM,7 AM to 6 PM,7 AM to 6 PM,7 AM to 6 PM,7 AM to 5 PM,,,,,,True,True,True,,,85.0,3.8
Food & drink,Pilgrim Dining,Restaurant,"277 Point Nepean Rd, Dromana VIC 3936, Australia",Mornington Peninsula,Dromana,https://www.google.com/maps/search/?api=1&query=Pilgrim%20Dining&query_place_id=ChIJFVyhcl3F1WoRq8HW-V88c64,https://www.pilgrimdining.com/,,+61 3 5903 3201,-38.3336419,144.9632867,False,Closed,Closed,8 AM to 3 PM,8 AM to 9 PM,8 AM to 9 PM,8 AM to 9 PM,8 AM to 3 PM,,True,,,,True,True,True,,True,214.0,4.8
Food & drink,Kathmandu Momo and Curry House - Preston Nepalese and Indian Restaurant,Nepalese restaurant,"523 High St, Preston VIC 3072, Australia",Darebin,Preston,https://www.google.com/maps/search/?api=1&query=Kathmandu%20Momo%20and%20Curry%20House%20-%20Preston%20Nepalese%20and%20Indian%20Restaurant&query_place_id=ChIJn4ACQP9E1moRp8nATsOnHZA,https://kathmandumomoandcurryhouse.com.au/,,+61 3 9470 4700,-37.7364874,145.0040971,False,3 to 10 PM,Closed,3 to 10 PM,3 to 10 PM,3 to 10 PM,1 to 10 PM,1 to 10 PM,,True,,,,,,,,,280.0,4.1
Food & drink,Ferguson Plarre's Bakehouse - Craigieburn Central,Bakery,"Craigieburn Central, 340 Craigieburn Rd, Craigieburn VIC 3064, Australia",Hume,Craigieburn,https://www.google.com/maps/search/?api=1&query=Ferguson%20Plarre's%20Bakehouse%20-%20Craigieburn%20Central&query_place_id=ChIJKUDJ6R9S1moRf3OUMGKcNeQ,http://www.fergusonplarre.com.au/,,+61 488 776 613,-37.5939506,144.9149293,False,7 AM to 5 PM,7 AM to 5 PM,7 AM to 5 PM,7 AM to 5 PM,7 AM to 5 PM,7 AM to 5 PM,7 AM to 5 PM,,,,,,True,True,True,,,145.0,4.1
Food & drink,Ferguson Plarre's Bakehouse - Craigieburn Central,Bakery,"Craigieburn Central, 340 Craigieburn Rd, Craigieburn VIC 3064, Australia",Hume,Craigieburn,https://www.google.com/maps/search/?api=1&query=Ferguson%20Plarre's%20Bakehouse%20-%20Craigieburn%20Central&query_place_id=ChIJKUDJ6R9S1moRf3OUMGKcNeQ,http://www.fergusonplarre.com.au/,,+61 488 776 613,-37.5939506,144.9149293,False,7 AM to 5 PM,7 AM to 5 PM,7 AM to 5 PM,7 AM to 5 PM,7 AM to 5 PM,7 AM to 5 PM,7 AM to 5 PM,,,,,,True,True,True,,,145.0,4.1
Shopping,BWS Thrift Park,Liquor store,"Shop 1/171 Nepean Hwy, Mentone VIC 3194, Australia",Kingston,Mentone,https://www.google.com/maps/search/?api=1&query=BWS%20Thrift%20Park&query_place_id=ChIJwTbZZLNt1moRj0lB8AeI4ek,https://bws.com.au/storelocator/VIC-Thrift-Park-3661,,+61 3 8551 8713,-37.9840012,145.0771335,False,9 AM to 10 PM,9 AM to 10 PM,9 AM to 10 PM,9 AM to 10 PM,9 AM to 10 PM,9 AM to 10 PM,10 AM to 8 PM,,,,,,True,True,True,,,67.0,3.8
Services,Elite Line Group Pty Ltd,Window cleaning service,"600 Sneydes Rd, Werribee VIC 3030, Australia",Wyndham,Werribee,https://www.google.com/maps/search/?api=1&query=Elite%20Line%20Group%20Pty%20Ltd&query_place_id=ChIJTx_xUyqF1moRpsH18c9gj2M,https://www.elitelinegroup.com.au/,,+61 1300 793 174,-37.8970152,144.6882105,False,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,,,,,,,,,
Food & drink,Good time Pizza,Pizza restaurant,"694 High St, Reservoir VIC 3073, Australia",Darebin,Reservoir,https://www.google.com/maps/search/?api=1&query=Good%20time%20Pizza&query_place_id=ChIJ3dXl34xF1moR-rGW0WmKHFk,http://goodtimepizza.com.au/,,+61 3 9471 1111,-37.7283295,145.0059117,False,5 PM to 12 AM,5 PM to 12 AM,5 PM to 12 AM,5 PM to 12 AM,5 PM to 12 AM,5 PM to 12 AM,Closed,,True,,,,,,,,,79.0,4.2
Food & drink,We One Caters,Caterer,"19 Henderson St, Sunshine North VIC 3020, Australia",Brimbank,Sunshine North,https://www.google.com/maps/search/?api=1&query=We%20One%20Caters&query_place_id=ChIJDxJzjGRf1moR_gS-iSOpmpo,https://weonecaters.com.au/,,+61 474 472 173,-37.7638462,144.8423352,False,Closed,Closed,Closed,Closed,9 AM to 6 PM,9 AM to 6 PM,9 AM to 6 PM,,,,,,,,,,,27.0,4.5
Food & drink,Ecotel Melbourne Pty Ltd,Bakery equipment,"218-222 Nicholson St, Fitzroy VIC 3065, Australia",Yarra,Fitzroy,https://www.google.com/maps/search/?api=1&query=Ecotel%20Melbourne%20Pty%20Ltd&query_place_id=ChIJi9LFdORD1moROd_4zqmfzXc,https://www.ecotel.asia/,,+61 3 9193 4325,-37.7984998,144.9750553,False,8:30 AM to 4:30 PM,8:30 AM to 4:30 PM,8:30 AM to 4:30 PM,8:30 AM to 4:30 PM,8:30 AM to 4:30 PM,Closed,Closed,,,,,,,,,,,15.0,3.9
Food & drink,Roccella Italian Restaurant East Melbourne,Italian restaurant,"158 Clarendon St, East Melbourne VIC 3002, Australia",Melbourne,East Melbourne,https://www.google.com/maps/search/?api=1&query=Roccella%20Italian%20Restaurant%20East%20Melbourne&query_place_id=ChIJiWZcQlZD1moReLf1KVvQ98M,https://www.roccellamelbourne.com.au/?utm_source=GMB&utm_medium=traffic&utm_campaign=direct&utm_term=website+home,,+61 3 9416 1700,-37.8119728,144.9835404,False,8 AM to 8:30 PM,8 AM to 8:30 PM,8 AM to 8:30 PM,8 AM to 8:30 PM,8 AM to 9 PM,8 AM to 9 PM,8 AM to 8:30 PM,,,,,,True,True,True,True,True,2938.0,4.8
Education,Food Safety Handler & Supervisor Course Melbourne | Short Courses Australia,Training center,"Ste 2 Level 1/350 Collins St, Melbourne VIC 3000, Australia",Melbourne,Melbourne,https://www.google.com/maps/search/?api=1&query=Food%20Safety%20Handler%20%26%20Supervisor%20Course%20Melbourne%20%7C%20Short%20Courses%20Australia&query_place_id=ChIJpUi1QnVD1moRb9-PIiX049c,https://shortcoursesau.edu.au/food-safety-supervisor-fss-course/vic/melbourne,,+61 3 9125 4029,-37.8163047,144.9628625,False,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,Closed,,,True,,,True,True,,True,True,267.0,4.9
Business & manufacturing,Sedco Communications - Nurse call systems,Safety equipment supplier,"Unit 2/200 Wellington Rd, Clayton VIC 3168, Australia",Monash,Clayton,https://www.google.com/maps/search/?api=1&query=Sedco%20Communications%20-%20Nurse%20call%20systems&query_place_id=ChIJF7VkACoV1moRENo-Pg5xsvw,http://www.sedco.net.au/,,+61 1800 824 082,-37.917988,145.147597,False,,,,,,,,,,,,,,,,,,,
Education,Brighton Institute of Technology,College,"level 5/255 William St, Melbourne VIC 3000, Australia",Melbourne,Melbourne,https://www.google.com/maps/search/?api=1&query=Brighton%20Institute%20of%20Technology&query_place_id=ChIJ67J1IbVC1moROsZu9dP8Ba4,http://www.bit.edu.au/,,+61 3 9642 1770,-37.8131612,144.9567781,False,Closed,Closed,Closed,Closed,8:30 AM to 5 PM,8:30 AM to 5 PM,8:30 AM to 5 PM,,,,,,True,True,,,,131.0,4.5
Services,Grasp Social,Marketing agency,"45 Belrose Ave, Cheltenham VIC 3192, Australia",Bayside,Cheltenham,https://www.google.com/maps/search/?api=1&query=Grasp%20Social&query_place_id=ChIJH2Zoh4Zp1moRgdJCErFNs6A,http://www.graspsocial.com.au/,,+61 488 677 100,-37.961459,145.0392288,False,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,,,,,,,,12.0,5.0
Food & drink,Moon Rabbit Cafe,Cafe,"218 High St, Preston VIC 3072, Australia",Darebin,Preston,https://www.google.com/maps/search/?api=1&query=Moon%20Rabbit%20Cafe&query_place_id=ChIJc8KbsvdE1moROow7vd_rs4M,https://moonrabbit.org.au/,,+61 406 853 121,-37.7443,145.00321,False,8:30 AM to 2 PM,8:30 AM to 2 PM,8:30 AM to 2 PM,8:30 AM to 2 PM,Closed,Closed,Closed,,True,True,,,True,True,True,,True,136.0,4.9
Lodging,"The StandardX, Melbourne",Hotel,"62 Rose St, Fitzroy VIC 3065, Australia",Yarra,Fitzroy,https://www.google.com/maps/search/?api=1&query=The%20StandardX%2C%20Melbourne&query_place_id=ChIJKTNweHtD1moRl1bOZnhFS4c,https://www.hyatt.com/the-standardx/en-US/melsx-the-standardx-melbourne?src=corp_lclb_google_seo_melsx&utm_source=google&utm_medium=organic&utm_campaign=lmr,,+61 3 9124 4800,-37.7960459,144.9774903,False,,,,,,,,,,,,,,,,,,226.0,4.7
